iter	Passed	Remaining
406	5804	8457
407	5818	8441
408	5831	8426
409	5843	8409
410	5856	8393
411	5870	8377
412	5882	8361
413	5895	8344
414	5908	8328
415	5921	8312
416	5934	8296
417	5947	8281
418	5960	8264
419	5973	8248
420	5986	8232
421	5999	8217
422	6012	8201
423	6025	8184
424	6037	8169
425	6051	8153
426	6064	8138
427	6078	8124
428	6092	8108
429	6104	8092
430	6118	8078
431	6132	8062
432	6144	8046
433	6157	8029
434	6169	8013
435	6183	7998
436	6196	7982
437	6209	7967
438	6221	7950
439	6235	7935
440	6248	7920
441	6262	7905
442	6275	7889
443	6288	7874
444	6302	7859
445	6315	7845
446	6329	7830
447	6343	7815
448	6356	7800
449	6368	7783
450	6382	7769
451	6396	7755
452	6411	7742
453	6426	7729
454	6441	7715
455	6454	7700
456	6468	7685
457	6481	7670
458	6495	7655
459	6508	7640
460	6521	7625
461	6534	7609
462	6547	7594
463	6560	7578
464	6574	7563
465	6587	7548
466	6600	7533
467	6613	7518
468	6626	7502
469	6640	7488
470	6653	7472
471	6664	7455
472	6678	7441
473	6692	7427
474	6707	7413
475	6720	7398
476	6733	7382
477	6746	7367
478	6761	7354
479	6775	7339
480	6788	7324
481	6801	7309
482	6813	7293
483	6826	7277
484	6839	7262
485	6853	7247
486	6866	7232
487	6878	7216
488	6892	7202
489	6905	7187
490	6918	7171
491	6930	7155
492	6943	7140
493	6957	7127
494	6970	7111
495	6983	7096
496	6995	7080
497	7009	7065
498	7022	7050
499	7036	7036
500	7049	7021
501	7062	7006
502	7076	6992
503	7090	6978
504	7105	6964
505	7120	6951
506	7134	6937
507	7147	6922
508	7159	6906
509	7173	6892
510	7187	6878
511	7201	6864
512	7215	6849
513	7228	6834
514	7240	6818
515	7253	6803
516	7267	6789
517	7280	6774
518	7293	6759
519	7306	6744
520	7320	6730
521	7333	6715
522	7346	6700
523	7360	6685
524	7372	6670
525	7386	6656
526	7399	6641
527	7412	6626
528	7425	6611
529	7438	6596
530	7451	6581
531	7465	6567
532	7477	6551
533	7491	6537
534	7504	6522
535	7518	6508
536	7532	6494
537	7545	6479
538	7559	6465
539	7571	6449
540	7584	6434
541	7598	6420
542	7611	6405
543	7625	6391
544	7638	6377
545	7652	6362
546	7665	6348
547	7679	6334
548	7692	6319
549	7706	6305
550	7719	6290
551	7733	6276
552	7747	6262
553	7761	6248
554	7775	6234
555	7789	6220
556	7803	6206
557	7817	6192
558	7831	6178
559	7845	6164
560	7859	6150
561	7874	6136
562	7888	6123
563	7903	6109
564	7916	6094
565	7930	6080
566	7944	6066
567	7958	6053
568	7972	6038
569	7985	6024
570	8012	6020
571	8027	6006
572	8041	5992
573	8056	5979
574	8070	5964
575	8083	5950
576	8095	5935
577	8109	5920
578	8122	5905
579	8136	5891
580	8148	5876
581	8161	5861
582	8174	5847
583	8187	5832
584	8201	5817
585	8212	5802
586	8227	5788
587	8240	5774
588	8254	5759
589	8267	5744
590	8279	5730
591	8292	5715
592	8305	5700
593	8318	5686
594	8332	5671
595	8346	5657
596	8359	5642
597	8372	5628
598	8385	5613
599	8398	5598
600	8411	5584
601	8424	5569
602	8437	5555
603	8451	5540
604	8463	5525
605	8476	5511
606	8489	5496
607	8503	5482
608	8516	5467
609	8529	5453
610	8543	5439
611	8555	5424
612	8569	5410
613	8582	5395
614	8596	5381
615	8608	5366
616	8621	5351
617	8637	5338
618	8650	5324
619	8664	5310
620	8678	5296
621	8693	5283
622	8708	5269
623	8722	5255
624	8736	5241
625	8750	5227
626	8764	5213
627	8778	5199
628	8793	5186
629	8807	5172
630	8823	5159
631	8837	5145
632	8870	5143
633	8895	5134
634	8911	5122
635	8925	5108
636	8939	5094
637	8952	5079
638	8966	5065
639	8980	5051
640	8994	5037
641	9009	5023
642	9022	5009
643	9035	4995
644	9049	4980
645	9064	4967
646	9080	4954
647	9094	4940
648	9109	4926
649	9123	4912
650	9138	4899
651	9152	4885
652	9166	4871
653	9181	4857
654	9196	4843
655	9210	4829
656	9223	4815
657	9237	4801
658	9251	4787
659	9264	4772
660	9279	4759
661	9294	4745
662	9308	4731
663	9322	4717
664	9337	4703
665	9351	4689
666	9363	4674
667	9377	4660
668	9392	4646
669	9405	4632
670	9419	4618
671	9434	4604
672	9446	4590
673	9463	4577
674	9476	4562
675	9489	4548
676	9503	4533
677	9515	4519
678	9528	4504
679	9541	4490
680	9555	4476
681	9568	4461
682	9581	4446
683	9593	4432
684	9608	4418
685	9621	4403
686	9634	4389
687	9647	4375
688	9660	4360
689	9673	4345
690	9686	4331
691	9700	4317
692	9714	4303
693	9726	4288
694	9740	4274
695	9753	4260
696	9766	4245
697	9779	4231
698	9791	4216
699	9804	4201
700	9818	4187
701	9831	4173
702	9845	4159
703	9858	4145
704	9871	4130
705	9884	4116
706	9897	4101
707	9910	4087
708	9923	4072
709	9936	4058
710	9949	4044
711	9962	4029
712	9975	4015
713	9987	4000
714	10001	3986
715	10014	3972
716	10028	3958
717	10040	3943
718	10053	3928
719	10067	3914
720	10079	3900
721	10093	3886
722	10105	3871
723	10119	3857
724	10132	3843
725	10145	3829
726	10159	3815
727	10172	3800
728	10184	3786
729	10198	3771
730	10210	3757
731	10224	3743
732	10237	3729
733	10251	3715
734	10264	3700
735	10278	3686
736	10290	3672
737	10303	3657
738	10316	3643
739	10330	3629
740	10343	3615
741	10356	3601
742	10369	3586
743	10382	3572
744	10395	3558
745	10409	3544
746	10422	3529
747	10448	3519
748	10461	3505
749	10474	3491
750	10487	3477
751	10499	3462
752	10512	3448
753	10526	3434
754	10539	3420
755	10552	3405
756	10565	3391
757	10578	3377
758	10592	3363
759	10605	3349
760	10618	3334
761	10630	3320
762	10646	3306
763	10659	3292
764	10672	3278
765	10686	3264
766	10699	3250
767	10712	3236
768	10726	3222
769	10740	3208
770	10753	3193
771	10765	3179
772	10778	3165
773	10791	3151
774	10805	3136
775	10818	3122
776	10832	3108
777	10844	3094
778	10857	3080
779	10870	3066
780	10883	3051
781	10897	3037
782	10910	3023
783	10923	3009
784	10936	2995
785	10949	2981
786	10962	2966
787	10974	2952
788	10988	2938
789	11001	2924
790	11014	2910
791	11028	2896
792	11041	2882
793	11053	2867
794	11066	2853
795	11079	2839
796	11092	2825
797	11105	2811
798	11119	2797
799	11133	2783
800	11147	2769
801	11160	2755
802	11173	2741
803	11186	2727
804	11199	2712
805	11212	2698
806	11226	2684
807	11239	2670
808	11252	2656
809	11265	2642
810	11278	2628
811	11292	2614
812	11304	2600
813	11317	2585
814	11330	2571
815	11343	2557
816	11357	2544
817	11370	2529
818	11383	2515
819	11396	2501
820	11410	2487
821	11424	2473
822	11437	2459
823	11450	2445
824	11463	2431
825	11476	2417
826	11489	2403
827	11501	2389
828	11514	2375
829	11527	2361
830	11541	2347
831	11554	2333
832	11567	2318
833	11581	2305
834	11594	2291
835	11607	2277
836	11619	2262
837	11632	2248
838	11645	2234
839	11658	2220
840	11670	2206
841	11683	2192
842	11696	2178
843	11709	2164
844	11721	2150
845	11734	2136
846	11747	2122
847	11760	2108
848	11774	2094
849	11788	2080
850	11801	2066
851	11814	2052
852	11828	2038
853	11842	2024
854	11855	2010
855	11868	1996
856	11883	1982
857	11897	1969
858	11912	1955
859	11926	1941
860	11940	1927
861	11954	1913
862	11966	1899
863	11979	1885
864	11992	1871
865	12005	1857
866	12018	1843
867	12031	1829
868	12045	1815
869	12058	1801
870	12071	1787
871	12084	1773
872	12096	1759
873	12110	1745
874	12123	1731
875	12136	1717
876	12148	1703
877	12160	1689
878	12174	1675
879	12187	1661
880	12199	1647
881	12213	1633
882	12226	1620
883	12239	1606
884	12252	1592
885	12265	1578
886	12279	1564
887	12292	1550
888	12305	1536
889	12319	1522
890	12333	1508
891	12346	1494
892	12359	1480
893	12372	1466
894	12385	1453
895	12398	1439
896	12412	1425
897	12425	1411
898	12438	1397
899	12454	1383
900	12468	1370
901	12483	1356
902	12496	1342
903	12510	1328
904	12525	1314
905	12538	1300
906	12553	1287
907	12567	1273
908	12582	1259
909	12596	1245
910	12611	1232
911	12626	1218
912	12641	1204
913	12654	1190
914	12669	1176
915	12683	1163
916	12698	1149
917	12712	1135
918	12726	1121
919	12740	1107
920	12754	1094
921	12768	1080
922	12782	1066
923	12796	1052
924	12809	1038
925	12823	1024
926	12836	1010
927	12849	996
928	12863	983
929	12877	969
930	12891	955
931	12905	941
932	12918	927
933	12933	913
934	12947	900
935	12961	886
936	12975	872
937	12989	858
938	13004	844
939	13018	830
940	13032	817
941	13047	803
942	13061	789
943	13074	775
944	13088	761
945	13101	747
946	13115	734
947	13129	720
948	13143	706
949	13158	692
950	13173	678
951	13187	664
952	13202	651
953	13214	637
954	13229	623
955	13243	609
956	13257	595
957	13271	581
958	13285	567
959	13297	554
960	13310	540
961	13323	526
962	13337	512
963	13350	498
964	13363	484
965	13376	470
966	13390	456
967	13403	443
968	13417	429
969	13429	415
970	13441	401
971	13455	387
972	13468	373
973	13480	359
974	13492	345
975	13506	332
976	13519	318
977	13531	304
978	13543	290
979	13556	276
980	13570	262
981	13582	248
982	13595	235
983	13608	221
984	13622	207
985	13635	193
986	13648	179
987	13661	165
988	13674	152
989	13688	138
990	13701	124
991	13715	110
992	13727	96
993	13740	82
994	13752	69
995	13766	55
996	13779	41
997	13793	27
998	13806	13
999	13819	0
